time,rsds_mean,rsds_stdev,rsds_min,rsds_max
1951-08-18 12:00:00,155.4534,3.3404632,149.41566,163.63173
1951-08-19 12:00:00,215.8032,3.804999,209.91164,223.9039
1951-08-20 12:00:00,73.538826,2.3579493,69.56047,77.850006
1951-08-21 12:00:00,48.54338,2.53125,42.779263,54.023808
1951-08-22 12:00:00,140.25398,10.474542,123.220894,154.3338
1951-08-23 12:00:00,151.73721,10.551089,133.22998,172.55386
1951-08-24 12:00:00,201.02573,13.259246,176.32935,221.91644
1951-08-25 12:00:00,178.7377,3.1953337,172.29343,184.55328
1951-08-26 12:00:00,162.0383,6.096346,154.21158,176.67696
1951-08-27 12:00:00,192.02553,3.1013572,185.8645,198.73988
1951-08-28 12:00:00,96.98815,3.2316527,88.97855,104.311676
1951-08-29 12:00:00,231.98248,1.3301954,229.67241,235.56538
1951-08-30 12:00:00,218.08838,3.57649,212.43837,224.67422
1951-08-31 12:00:00,83.06446,2.6147745,77.3497,86.97901
1951-09-01 12:00:00,176.93031,9.537042,148.49754,190.98921
1951-09-02 12:00:00,120.07549,10.683708,94.070496,139.57434
1951-09-03 12:00:00,42.543293,2.0482357,38.62473,47.40127
1951-09-04 12:00:00,135.37973,7.585056,128.56418,158.93045
1951-09-05 12:00:00,173.0738,2.818258,168.64572,180.03085
1951-09-06 12:00:00,205.94543,6.0041323,193.76622,217.05692
1951-09-07 12:00:00,153.45068,2.5939217,149.46411,161.05923
1951-09-08 12:00:00,115.25157,7.1714454,103.90413,130.30705
1951-09-09 12:00:00,166.89906,4.6005263,160.44266,176.48193
1951-09-10 12:00:00,195.62143,2.4953964,192.74646,202.6016
1951-09-11 12:00:00,178.77379,2.9335134,173.84506,184.74799
1951-09-12 12:00:00,160.14156,4.5002103,152.29955,169.56651
1951-09-13 12:00:00,183.93044,1.8041315,179.85933,186.52068
1951-09-14 12:00:00,81.86123,3.5409427,74.19173,87.334496
1951-09-15 12:00:00,183.34846,2.4687102,179.35085,188.49864
1951-09-16 12:00:00,109.22617,3.4511588,102.65883,116.66443
1951-09-17 12:00:00,100.09023,4.0790067,94.229454,106.11394
1951-09-18 12:00:00,58.87403,1.3884062,56.79231,62.40055
1951-09-19 12:00:00,132.98233,6.8281035,119.95917,144.75665
1951-09-20 12:00:00,109.46159,10.366573,91.539375,126.594154
1951-09-21 12:00:00,88.18792,2.0823007,83.61441,93.36132
1951-09-22 12:00:00,175.48964,3.6336443,169.38042,181.98392
1951-09-23 12:00:00,121.74182,2.9243772,116.590355,127.47643
1951-09-24 12:00:00,111.937744,4.618686,102.47391,117.25047
1951-09-25 12:00:00,151.38759,1.6217492,148.27882,153.79823
1951-09-26 12:00:00,91.49665,3.3650792,86.4807,97.946556
1951-09-27 12:00:00,129.6004,6.243698,118.504814,138.06995
1951-09-28 12:00:00,113.3242,3.4002402,106.671005,118.707634
1951-09-29 12:00:00,75.315956,3.6746137,66.66205,80.1006
