time,pr_mean,pr_stdev,pr_min,pr_max
1951-10-22 18:00:00,15.175,1.6304433,11.9,17.3
1951-10-23 18:00:00,4.0485296,0.8994267,2.3,6.0
1951-10-24 18:00:00,0.0632353,0.12591362,0.0,0.6
1951-10-25 18:00:00,0.0,0.0,0.0,0.0
1951-10-26 18:00:00,0.0,0.0,0.0,0.0
1951-10-27 18:00:00,0.0,0.0,0.0,0.0
1951-10-28 18:00:00,0.0,0.0,0.0,0.0
1951-10-29 18:00:00,0.0,0.0,0.0,0.0
1951-10-30 18:00:00,0.7470588,0.8671235,0.0,3.1
1951-10-31 18:00:00,4.277941,0.52408063,3.0,5.0
1951-11-01 18:00:00,3.2764707,0.4734472,2.5,4.3
1951-11-02 18:00:00,1.4882352,0.88392997,0.0,3.3
1951-11-03 18:00:00,4.2191176,1.0416697,2.5,6.2
1951-11-04 18:00:00,0.0,0.0,0.0,0.0
1951-11-05 18:00:00,0.048529413,0.08133563,0.0,0.3
1951-11-06 18:00:00,0.675,0.7409007,0.0,2.8
1951-11-07 18:00:00,1.1941177,0.4165271,0.1,1.8
1951-11-08 18:00:00,1.7029412,0.36741167,0.8,2.3
1951-11-09 18:00:00,0.42058823,0.57918775,0.0,2.1
1951-11-10 18:00:00,0.0,0.0,0.0,0.0
1951-11-11 18:00:00,0.12205882,0.093691595,0.0,0.3
1951-11-12 18:00:00,29.747059,6.1839085,12.8,38.6
1951-11-13 18:00:00,50.642647,6.0241017,36.2,65.4
1951-11-14 18:00:00,9.620588,7.5240116,3.1,31.1
1951-11-15 18:00:00,8.777941,2.505221,3.3,13.9
1951-11-16 18:00:00,2.532353,0.40672335,1.2,3.4
1951-11-17 18:00:00,0.11176471,0.079574995,0.0,0.2
1951-11-18 18:00:00,0.07941177,0.10786542,0.0,0.4
1951-11-19 18:00:00,0.00882353,0.028363679,0.0,0.1
1951-11-20 18:00:00,0.8720588,0.5580548,0.0,2.5
1951-11-21 18:00:00,7.8985295,2.6950114,3.5,12.3
1951-11-22 18:00:00,1.0661764,0.22070095,0.7,1.5
1951-11-23 18:00:00,5.35,0.76012766,3.3,7.2
1951-11-24 18:00:00,26.704412,4.0184293,19.3,34.6
1951-11-25 18:00:00,8.980883,2.2474337,3.5,15.1
1951-11-26 18:00:00,1.1264706,0.25241053,0.3,1.8
1951-11-27 18:00:00,4.0455885,4.3163996,0.5,16.2
1951-11-28 18:00:00,18.55,3.7362099,10.5,27.6
1951-11-29 18:00:00,29.289705,5.2467394,19.6,41.2
1951-11-30 18:00:00,4.3117647,0.8661153,2.9,7.1
1951-12-01 18:00:00,0.29705882,0.18940355,0.0,0.7
1951-12-02 18:00:00,1.6,0.5187655,0.1,2.5
1951-12-03 18:00:00,6.5014706,0.8433987,4.3,8.2
1951-12-04 18:00:00,12.714705,1.8063829,9.5,15.9
1951-12-05 18:00:00,0.0,0.0,0.0,0.0
1951-12-06 18:00:00,4.1485295,1.3067126,0.2,6.8
1951-12-07 18:00:00,0.05882353,0.07323471,0.0,0.3
1951-12-08 18:00:00,3.1161764,2.6786525,0.2,9.7
1951-12-09 18:00:00,13.208823,4.082269,8.4,23.7
1951-12-10 18:00:00,25.407352,6.4009724,11.3,37.3
1951-12-11 18:00:00,4.425,1.801174,1.9,9.5
1951-12-12 18:00:00,0.0,0.0,0.0,0.0
1951-12-13 18:00:00,0.0,0.0,0.0,0.0
1951-12-14 18:00:00,0.0,0.0,0.0,0.0
1951-12-15 18:00:00,2.5132353,0.47026414,2.0,3.8
1951-12-16 18:00:00,5.483824,0.90466285,4.1,7.9
1951-12-17 18:00:00,0.3897059,0.11393975,0.1,0.6
1951-12-18 18:00:00,0.31617647,0.23047923,0.0,0.8
1951-12-19 18:00:00,0.0,0.0,0.0,0.0
1951-12-20 18:00:00,0.0,0.0,0.0,0.0
1951-12-21 18:00:00,0.18235295,0.12478355,0.0,0.5
1951-12-22 18:00:00,0.032352943,0.06049107,0.0,0.2
1951-12-23 18:00:00,0.09852941,0.094701774,0.0,0.4
1951-12-24 18:00:00,0.44411767,0.26864713,0.0,1.2
1951-12-25 18:00:00,9.601471,3.8072877,2.9,17.7
1951-12-26 18:00:00,2.8779411,0.62634456,1.9,4.1
1951-12-27 18:00:00,2.0264707,0.5707626,0.7,3.3
1951-12-28 18:00:00,0.0,0.0,0.0,0.0
1951-12-29 18:00:00,0.005882353,0.023529412,0.0,0.1
1951-12-30 18:00:00,2.860294,0.58690107,1.8,4.1
1951-12-31 18:00:00,1.0044118,0.85413074,0.0,3.6
1952-01-01 18:00:00,12.941176,2.8477151,7.6,17.0
1952-01-02 18:00:00,25.307352,3.2582166,19.6,32.6
1952-01-03 18:00:00,6.3117647,2.6923382,2.4,13.9
1952-01-04 18:00:00,6.2191176,1.5584927,2.1,9.0
1952-01-05 18:00:00,0.78088236,0.40302435,0.1,1.5
1952-01-06 18:00:00,0.00882353,0.028363679,0.0,0.1
1952-01-07 18:00:00,1.8147058,0.305472,0.8,2.5
1952-01-08 18:00:00,1.2544118,0.8805803,0.4,3.9
1952-01-09 18:00:00,15.630882,2.380142,10.9,19.9
1952-01-10 18:00:00,33.936764,3.9963183,26.8,40.9
1952-01-11 18:00:00,12.747059,1.7194792,7.4,15.1
1952-01-12 18:00:00,8.144117,2.2439055,4.5,14.6
1952-01-13 18:00:00,3.982353,2.407827,0.2,9.4
