time,hurs_mean,hurs_stdev,hurs_min,hurs_max
1951-08-13 12:00:00,74.267334,1.2451262,72.28,75.612
1951-08-14 12:00:00,82.39933,1.5162503,80.148,84.284
1951-08-15 12:00:00,79.346,1.3207405,77.216,80.984
1951-08-16 12:00:00,77.79733,1.3895354,75.644,79.908
1951-08-17 12:00:00,73.830666,1.4840261,71.724,76.268
1951-08-18 12:00:00,81.37,1.6969489,79.06,83.4
1951-08-19 12:00:00,61.828,1.478931,59.924,64.404
1951-08-20 12:00:00,84.34333,0.5073518,83.7,85.024
1951-08-21 12:00:00,91.19933,0.8754047,89.752,92.276
1951-08-22 12:00:00,83.43266,0.35762474,83.0,84.072
1951-08-23 12:00:00,78.031334,0.4311493,77.58,78.804
1951-08-24 12:00:00,78.24333,0.73415434,77.04,79.316
1951-08-25 12:00:00,74.172,0.6643083,73.412,75.348
1951-08-26 12:00:00,83.976,1.2094556,82.04,85.532
1951-08-27 12:00:00,78.526665,1.3121026,76.512,80.28
1951-08-28 12:00:00,87.018005,2.1611438,83.484,89.772
1951-08-29 12:00:00,69.39667,0.54857606,68.484,70.152
1951-08-30 12:00:00,58.943333,1.0675045,57.688,60.532
1951-08-31 12:00:00,93.736,0.31593335,93.14,94.136
1951-09-01 12:00:00,84.946,2.0594277,81.972,87.888
1951-09-02 12:00:00,88.81734,2.8240676,84.328,91.824
1951-09-03 12:00:00,96.515335,1.3829538,94.416,98.116
1951-09-04 12:00:00,78.93933,0.8459051,77.608,80.3
1951-09-05 12:00:00,72.624,0.48740852,71.996,73.256
1951-09-06 12:00:00,75.097336,0.52928454,74.268,75.776
1951-09-07 12:00:00,84.50267,0.9382295,83.012,85.88
1951-09-08 12:00:00,88.762665,1.3619143,86.836,90.676
1951-09-09 12:00:00,80.494,1.4113158,78.412,82.544
1951-09-10 12:00:00,69.46267,1.3469768,68.016,72.08
1951-09-11 12:00:00,79.48866,1.0023953,77.82,80.804
1951-09-12 12:00:00,78.138,1.0454887,76.648,79.824
1951-09-13 12:00:00,68.138,1.0296947,66.624,69.772
1951-09-14 12:00:00,93.21333,2.1498342,90.004,95.652
1951-09-15 12:00:00,69.746,0.6555434,68.948,70.836
1951-09-16 12:00:00,84.516,2.0561063,81.4,87.064
1951-09-17 12:00:00,90.388,1.4452702,88.304,92.232
1951-09-18 12:00:00,92.80133,2.195876,89.572,95.46
1951-09-19 12:00:00,85.35,1.9412271,82.724,87.684
1951-09-20 12:00:00,90.97867,1.2577441,89.232,92.764
1951-09-21 12:00:00,86.284,0.85478204,85.14,87.452
1951-09-22 12:00:00,79.68933,0.6508291,78.8,80.8
1951-09-23 12:00:00,71.33333,1.7187314,69.324,74.284
1951-09-24 12:00:00,81.94667,1.6210492,79.484,83.852
1951-09-25 12:00:00,78.144,1.7583508,75.188,80.54
1951-09-26 12:00:00,91.40733,2.5708702,87.512,94.352
1951-09-27 12:00:00,85.68933,1.4285674,83.428,87.312
1951-09-28 12:00:00,82.54733,0.7703613,81.168,83.38
1951-09-29 12:00:00,93.155334,0.85377127,92.0,94.22
1951-09-30 12:00:00,92.239334,1.5946084,89.684,94.08
1951-10-01 12:00:00,90.378,2.3650308,86.568,93.64
1951-10-02 12:00:00,70.512,1.5925214,68.388,73.04
1951-10-03 12:00:00,71.888664,0.47782958,71.232,72.728
1951-10-04 12:00:00,71.238,0.24175745,70.96,71.712
1951-10-05 12:00:00,73.67934,0.25721964,73.252,74.016
1951-10-06 12:00:00,88.16533,2.5942166,84.284,91.176
1951-10-07 12:00:00,76.152664,1.7387285,73.432,78.58
1951-10-08 12:00:00,61.344,0.8327473,60.508,62.816
1951-10-09 12:00:00,57.008,1.343986,55.448,59.284
1951-10-10 12:00:00,61.003998,1.6746448,59.08,63.892
1951-10-11 12:00:00,67.392,0.76092285,66.32,68.292
1951-10-12 12:00:00,51.462,1.1244736,50.116,53.144
1951-10-13 12:00:00,55.379333,1.6232209,53.456,58.028
1951-10-14 12:00:00,60.129333,1.6025158,58.136,62.736
1951-10-15 12:00:00,48.295998,2.2758822,45.276,51.592
1951-10-16 12:00:00,49.990665,1.4192454,48.012,51.932
1951-10-17 12:00:00,61.28533,3.691793,56.484,66.588
1951-10-18 12:00:00,77.87334,1.7750542,75.904,80.844
1951-10-19 12:00:00,70.89533,2.1518888,68.616,74.464
1951-10-20 12:00:00,85.49533,3.700125,80.0,90.58
1951-10-21 12:00:00,73.31334,0.8974684,72.052,74.536
1951-10-22 12:00:00,90.27133,1.1985786,88.628,92.136
1951-10-23 12:00:00,90.782,0.70892394,89.788,91.92
1951-10-24 12:00:00,96.00533,1.1145557,94.432,97.4
1951-10-25 12:00:00,95.461334,2.2387917,91.908,98.14
1951-10-26 12:00:00,91.668,1.5855962,89.14,93.44
1951-10-27 12:00:00,78.50733,1.2359067,77.04,80.688
1951-10-28 12:00:00,66.86,1.5080857,64.868,69.152
1951-10-29 12:00:00,79.348,0.35696602,78.776,79.688
1951-10-30 12:00:00,83.088,1.5447378,80.896,85.58
1951-10-31 12:00:00,93.762665,1.3582109,91.624,95.32
1951-11-01 12:00:00,93.504,0.9730362,92.08,94.792
1951-11-02 12:00:00,92.87334,1.3801688,90.68,94.384
1951-11-03 12:00:00,93.9,1.4875365,91.656,95.596
1951-11-04 12:00:00,89.900665,2.8655744,85.228,93.24
1951-11-05 12:00:00,69.757996,2.2560344,67.072,73.776
1951-11-06 12:00:00,64.02267,2.563953,60.484,67.828
1951-11-07 12:00:00,86.81734,1.3848646,84.776,88.796
1951-11-08 12:00:00,71.204666,1.8556113,68.844,73.964
1951-11-09 12:00:00,92.82533,0.4629385,92.148,93.34
1951-11-10 12:00:00,75.94933,2.2217362,73.136,79.472
1951-11-11 12:00:00,93.942,1.2325842,91.884,95.372
1951-11-12 12:00:00,97.354004,1.0141574,95.888,98.584
1951-11-13 12:00:00,95.36667,1.8994228,92.496,97.324
1951-11-14 12:00:00,95.753334,0.8426176,94.496,96.828
1951-11-15 12:00:00,91.258,1.7943261,88.676,93.348
1951-11-16 12:00:00,96.84133,0.93013614,95.368,98.0
1951-11-17 12:00:00,87.546005,2.288349,84.16,90.612
1951-11-18 12:00:00,72.20534,2.3140416,69.248,76.236
1951-11-19 12:00:00,78.55133,1.2195234,76.74,80.452
1951-11-20 12:00:00,83.664,1.3268785,81.728,85.924
1951-11-21 12:00:00,92.41533,2.1173818,89.128,94.84
1951-11-22 12:00:00,90.369995,2.3765206,86.684,93.032
1951-11-23 12:00:00,93.793335,1.386052,91.608,95.336
1951-11-24 12:00:00,95.74067,1.3773402,93.464,97.228
1951-11-25 12:00:00,95.136665,1.6528509,92.752,97.136
1951-11-26 12:00:00,91.50933,1.5560181,89.332,93.572
1951-11-27 12:00:00,90.31133,1.1780077,88.512,91.912
1951-11-28 12:00:00,96.572,1.72949,93.868,98.628
1951-11-29 12:00:00,94.23333,1.5773575,91.7,96.068
1951-11-30 12:00:00,95.052666,1.1265185,93.248,96.296
1951-12-01 12:00:00,86.278,1.6746192,83.876,88.176
1951-12-02 12:00:00,88.30334,1.5614339,85.82,90.384
1951-12-03 12:00:00,92.368004,0.84832364,91.232,93.456
1951-12-04 12:00:00,97.06533,1.0729393,95.54,98.112
1951-12-05 12:00:00,86.42267,2.4417086,82.932,89.4
1951-12-06 12:00:00,92.018,2.0930612,88.948,94.732
1951-12-07 12:00:00,88.70534,1.9381444,85.808,91.124
1951-12-08 12:00:00,86.368004,2.8173976,82.176,89.484
1951-12-09 12:00:00,88.97134,2.968776,84.368,93.204
1951-12-10 12:00:00,95.391335,1.689984,92.716,97.264
1951-12-11 12:00:00,90.975334,1.035717,89.58,92.532
1951-12-12 12:00:00,91.038,0.36434215,90.524,91.676
1951-12-13 12:00:00,57.176003,2.3187947,53.644,60.468
1951-12-14 12:00:00,65.835335,8.465846,55.836,77.76
1951-12-15 12:00:00,87.498,0.7575675,86.668,88.596
1951-12-16 12:00:00,96.96,0.66735697,95.928,97.972
1951-12-17 12:00:00,97.723335,0.6202263,96.712,98.5
1951-12-18 12:00:00,94.654,0.49133202,93.684,95.236
1951-12-19 12:00:00,89.496666,2.1297345,87.008,92.62
1951-12-20 12:00:00,70.638,1.6534754,68.304,72.824
1951-12-21 12:00:00,89.89067,0.51101196,89.28,90.576
1951-12-22 12:00:00,93.42533,0.4378277,92.592,93.9
1951-12-23 12:00:00,94.90933,0.65028644,93.888,95.932
1951-12-24 12:00:00,78.03467,0.15618326,77.88,78.3
1951-12-25 12:00:00,93.572,1.3229895,91.764,95.384
1951-12-26 12:00:00,92.53533,1.8258227,89.684,94.696
1951-12-27 12:00:00,93.18266,1.8671987,90.204,95.372
1951-12-28 12:00:00,85.356,2.1958997,82.168,87.892
1951-12-29 12:00:00,81.61867,0.6767912,80.624,82.556
1951-12-30 12:00:00,93.93867,1.4680156,91.852,95.62
1951-12-31 12:00:00,90.423996,0.98172456,88.94,91.752
1952-01-01 12:00:00,95.13067,1.9292892,92.136,97.364
1952-01-02 12:00:00,96.989334,2.1502295,93.444,99.212
1952-01-03 12:00:00,96.134,1.9416019,93.248,98.144
1952-01-04 12:00:00,97.12866,1.4975036,94.88,98.664
1952-01-05 12:00:00,94.35067,0.843415,93.148,95.388
1952-01-06 12:00:00,89.76134,0.32147,89.352,90.156
1952-01-07 12:00:00,98.166,1.5588596,95.6,99.844
1952-01-08 12:00:00,98.099335,1.6327875,95.28,99.764
1952-01-09 12:00:00,94.798,1.7257268,92.12,96.868
1952-01-10 12:00:00,95.77333,1.5882063,93.388,97.58
1952-01-11 12:00:00,93.21333,1.9569485,90.168,95.336
1952-01-12 12:00:00,95.952,1.2063184,94.216,97.428
1952-01-13 12:00:00,88.942665,0.8385114,87.676,90.12
1952-01-14 12:00:00,94.59267,1.1744202,92.88,96.12
1952-01-15 12:00:00,93.734,1.9073075,90.792,95.948
1952-01-16 12:00:00,89.43,1.6905632,87.16,91.668
1952-01-17 12:00:00,94.891335,2.2384872,91.432,97.272
1952-01-18 12:00:00,91.188,1.7007734,88.476,93.056
1952-01-19 12:00:00,94.80333,0.911293,93.38,95.948
1952-01-20 12:00:00,88.952,0.7466304,87.984,90.192
1952-01-21 12:00:00,95.546,0.32857397,95.024,96.096
1952-01-22 12:00:00,96.33867,0.50398844,95.392,96.92
1952-01-23 12:00:00,95.374,1.0611371,93.644,96.648
1952-01-24 12:00:00,92.68266,0.5421176,91.812,93.352
1952-01-25 12:00:00,89.54266,1.471979,87.064,91.66
1952-01-26 12:00:00,93.096664,1.7353549,90.376,95.016
1952-01-27 12:00:00,94.018005,1.6312957,91.624,95.748
1952-01-28 12:00:00,90.23866,1.5349026,87.812,92.156
1952-01-29 12:00:00,93.012,1.7253083,90.38,95.052
1952-01-30 12:00:00,94.33467,2.1032507,91.096,96.56
1952-01-31 12:00:00,94.841995,1.8406277,91.876,96.868
1952-02-01 12:00:00,92.088005,2.2798164,88.716,94.62
1952-02-02 12:00:00,94.02533,1.2718536,92.284,95.5
1952-02-03 12:00:00,93.79867,1.8352182,90.964,95.908
1952-02-04 12:00:00,91.442,0.9136719,90.108,92.7
1952-02-05 12:00:00,85.954,2.0204318,83.16,88.204
1952-02-06 12:00:00,96.41333,1.5881517,94.28,98.296
1952-02-07 12:00:00,95.720665,1.3053256,93.752,97.328
1952-02-08 12:00:00,95.484,1.3455533,93.596,97.196
1952-02-09 12:00:00,90.563995,1.2469484,88.812,92.176
1952-02-10 12:00:00,91.02267,1.6462067,88.74,93.068
1952-02-11 12:00:00,89.262,1.0420489,87.684,90.708
1952-02-12 12:00:00,85.37666,1.0481533,83.988,86.876
1952-02-13 12:00:00,88.37067,1.7699178,85.672,90.64
1952-02-14 12:00:00,85.50733,1.0141236,84.064,87.076
1952-02-15 12:00:00,78.59866,1.0572915,77.148,79.844
1952-02-16 12:00:00,83.22933,1.0090936,81.632,84.632
1952-02-17 12:00:00,89.391335,0.4178379,88.676,90.016
1952-02-18 12:00:00,89.22466,0.81180394,87.908,90.34
1952-02-19 12:00:00,94.80067,1.406942,92.86,96.484
1952-02-20 12:00:00,95.82,1.2384073,93.936,97.428
1952-02-21 12:00:00,97.59,1.150165,95.764,98.836
1952-02-22 12:00:00,92.61733,1.7575098,90.148,94.852
1952-02-23 12:00:00,91.92133,1.4861735,89.812,93.888
1952-02-24 12:00:00,92.31334,1.342665,90.132,94.204
1952-02-25 12:00:00,90.982666,1.053303,89.24,92.52
1952-02-26 12:00:00,80.258,1.4171841,78.344,82.26
1952-02-27 12:00:00,88.756,1.7994163,86.216,91.184
1952-02-28 12:00:00,92.58667,0.9559483,91.168,94.004
1952-02-29 12:00:00,95.007996,0.64588845,94.128,95.892
1952-03-01 12:00:00,87.28467,2.2447896,84.096,90.104
1952-03-02 12:00:00,91.216,1.5306238,88.904,93.06
1952-03-03 12:00:00,75.67267,1.089785,73.868,76.94
1952-03-04 12:00:00,67.15867,1.1904042,65.316,68.916
1952-03-05 12:00:00,90.88067,0.7847281,89.78,92.004
1952-03-06 12:00:00,71.06133,0.7674684,70.276,72.316
1952-03-07 12:00:00,65.577995,0.73495203,64.284,66.544
1952-03-08 12:00:00,59.986,1.5243524,57.644,62.336
1952-03-09 12:00:00,55.809334,1.3637272,53.804,57.876
1952-03-10 12:00:00,86.19,1.1390917,84.52,87.604
1952-03-11 12:00:00,95.32266,1.1680169,93.32,96.808
